Insert,10,0.000418,Search,10,0.180152
Insert,11,0.00084,Search,11,0.176052
Insert,12,0.001716,Search,12,0.171026
Insert,13,0.003476,Search,13,0.17315
Insert,14,0.007068,Search,14,0.180364
Insert,15,0.014461,Search,15,0.185004
Insert,16,0.030181,Search,16,0.187492
Insert,17,0.063199,Search,17,0.215957
Insert,18,0.141594,Search,18,0.281343
Insert,19,0.324638,Search,19,0.327867
Insert,20,0.715475,Search,20,0.360099
Insert,21,1.59391,Search,21,0.383526
Insert,22,3.33276,Search,22,0.425347
Insert,23,7.03585,Search,23,0.408475
Insert,24,14.8966,Search,24,0.428143
Insert,25,31.9857,Search,25,0.48762
Insert,26,76.7899,Search,26,0.523768
Insert,27,152.16,Search,27,0.544571
